order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI03289,2018-03-15,10:21:58,Breakfast,NS,"[('Cereal', 6), ('Eggs', 7), ('Pancake', 7), ('Coffee', 10)]",524.75,-37.8031708,144.9484204,0,8.504,13.5664168
ORDZ07843,2018-09-22,16:47:19,Dinner,NS,"[('Salmon', 10), ('Fish&Chips', 9), ('Shrimp', 1), ('Pasta', 2)]",834.0,-37.8042118,144.9878906,0,7.952,15.8370478
ORDC11021,2018-07-27,14:45:38,Lunch,NS,"[('Steak', 2), ('Fries', 4), ('Chicken', 3), ('Salad', 1)]",251.2,-37.8271104,144.9836705,0,9.566,15.1165047
ORDJ04841,2018-07-04,14:05:04,Lunch,TP,"[('Steak', 8), ('Burger', 1), ('Fries', 8), ('Chicken', 7), ('Salad', 7)]",831.4,-37.8218102,144.9518698,0,8.481,12.295377
ORDC01352,2018-03-23,10:42:15,Breakfast,NS,"[('Coffee', 6), ('Cereal', 7), ('Pancake', 5)]",313.25,-37.8006576,144.9577659,0,7.306,12.7047204
ORDB03088,2018-03-02,09:51:32,Breakfast,TP,"[('Coffee', 4), ('Cereal', 1), ('Eggs', 9)]",249.0,-37.824616,144.988997,0,9.234,12.09978
ORDA08044,2018-02-15,09:21:07,Breakfast,BK,"[('Eggs', 2), ('Coffee', 6)]",89.0,-37.79602,145.0010543,0,5.855,10.8287388
ORDA02189,2018-08-01,14:55:46,Lunch,BK,"[('Burger', 9), ('Fries', 7), ('Steak', 8), ('Chicken', 10), ('Salad', 6)]",1146.2,-37.8023647,144.9718769,0,7.215,13.0247247
ORDK04546,2018-03-12,10:11:49,Breakfast,BK,"[('Cereal', 1), ('Coffee', 3), ('Eggs', 9), ('Pancake', 5)]",362.75,-37.8152346,144.9460934,0,9.122,13.9302002
ORDX01429,2018-04-09,11:12:40,Breakfast,BK,"[('Pancake', 9), ('Eggs', 5), ('Cereal', 5), ('Coffee', 2)]",448.25,-37.8141871,144.9502546,0,10.695,15.4595644
ORDA02127,2018-01-29,08:50:42,Breakfast,BK,"[('Cereal', 7), ('Eggs', 3)]",213.0,-37.8148306,144.9689365,0,7.294,12.3173973
ORDX10583,2018-02-24,09:41:24,Breakfast,BK,"[('Cereal', 10), ('Pancake', 8), ('Coffee', 1)]",411.5,-37.799875,144.9459571,0,9.263,16.9893121
ORDA08267,2018-05-01,11:53:14,Breakfast,BK,"[('Cereal', 2), ('Pancake', 10), ('Eggs', 3)]",350.5,-37.8025456,144.9454775,0,9.101,13.6910328
ORDI04411,2018-02-15,09:21:07,Breakfast,NS,"[('Eggs', 10), ('Pancake', 7)]",389.75,-37.8136358,145.0000791,0,9.791,14.7072283
ORDB06596,2018-07-26,14:45:38,Lunch,TP,"[('Burger', 10), ('Chicken', 10), ('Salad', 6), ('Fries', 6)]",805.2,-37.8002207,144.9820441,0,10.514,14.3362613
ORDB03500,2018-10-27,17:58:18,Dinner,TP,"[('Shrimp', 7), ('Fish&Chips', 4), ('Salmon', 10)]",928.0,-37.8204865,144.9659114,0,7.429,13.5125834
ORDA04024,2018-09-12,16:27:02,Dinner,BK,"[('Shrimp', 10), ('Fish&Chips', 8), ('Salmon', 8)]",1148.0,-37.8039352,144.9178394,0,11.612,18.8834253
ORDK02986,2018-03-02,09:51:32,Breakfast,BK,"[('Pancake', 8), ('Eggs', 8)]",370.0,-37.8186454,144.9653762,0,7.68,12.6608413
ORDK01081,2018-10-13,17:27:53,Dinner,BK,"[('Salmon', 7), ('Shrimp', 2)]",395.0,-37.8205523,144.9572336,0,8.399,18.1668993
ORDJ03364,2018-08-24,15:46:28,Lunch,TP,"[('Burger', 8), ('Steak', 2), ('Fries', 3), ('Salad', 5)]",460.0,-37.8078228,144.9403541,0,10.219,12.5536727
ORDC03946,2018-11-20,18:38:52,Dinner,NS,"[('Shrimp', 3), ('Fish&Chips', 7)]",407.0,-37.8248262,145.0161904,0,12.018,18.3049058
ORDY03381,2018-04-10,11:12:40,Breakfast,TP,"[('Eggs', 1), ('Coffee', 3)]",44.5,-37.8051354,144.9722353,0,9.695,12.198402
ORDZ07482,2018-12-07,19:19:26,Dinner,NS,"[('Pasta', 8), ('Salmon', 4), ('Fish&Chips', 4)]",524.0,-37.8128792,144.9716044,0,7.578,13.6271511
ORDY06222,2018-12-16,19:29:34,Dinner,TP,"[('Shrimp', 7), ('Salmon', 5), ('Pasta', 5)]",720.5,-37.8245206,144.9458166,0,8.955,15.0069284
ORDZ05463,2018-10-07,17:17:44,Dinner,NS,"[('Fish&Chips', 4), ('Salmon', 3), ('Shrimp', 9), ('Pasta', 3)]",831.5,-37.8087831,144.9612867,0,7.782,15.6107651
ORDY02834,2018-09-17,16:37:10,Dinner,TP,"[('Pasta', 6), ('Shrimp', 1)]",219.0,-37.8062334,144.9818136,0,9.909,14.3201215
ORDI10950,2018-08-11,15:16:03,Lunch,NS,"[('Fries', 6), ('Salad', 5), ('Burger', 9), ('Steak', 4)]",617.0,-37.8012686,144.9637056,0,6.79,13.7509947
ORDI08717,2018-05-30,12:54:05,Lunch,NS,"[('Steak', 10), ('Fries', 3), ('Chicken', 1), ('Salad', 7), ('Burger', 4)]",762.4,-37.8173846,144.9526723,0,9.039,14.1706698
ORDK08882,2018-10-08,17:17:44,Dinner,BK,"[('Pasta', 2), ('Fish&Chips', 5), ('Shrimp', 6), ('Salmon', 7)]",841.0,-37.8156592,144.9581359,0,8.201,14.9490117
ORDZ10498,2018-11-13,18:28:43,Dinner,NS,"[('Pasta', 1), ('Salmon', 1)]",68.5,-37.8009047,144.962314,0,6.876,12.5399543
ORDK06769,2018-02-02,09:00:50,Breakfast,BK,"[('Pancake', 4), ('Coffee', 7)]",149.5,-37.8171571,144.9533169,0,8.661,13.6528585
ORDB08499,2018-08-02,15:05:54,Lunch,TP,"[('Steak', 8), ('Chicken', 5)]",520.0,-37.8010098,144.9724161,0,10.016,13.2639463
ORDJ04254,2018-06-05,13:04:13,Lunch,TP,"[('Chicken', 7), ('Steak', 8), ('Fries', 4), ('Salad', 6)]",735.2,-37.803919,145.0034639,0,11.876,14.6608694
ORDB06189,2018-05-21,12:33:48,Lunch,TP,"[('Fries', 6), ('Chicken', 1), ('Salad', 3), ('Steak', 4)]",335.6,-37.8232067,145.0082041,0,11.575,14.7407364
