order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDB01139,2018-04-15,11:22:49,Breakfast,TP,"[('Cereal', 7), ('Coffee', 4)]",177.0,-37.8166106,144.9867152,0,9.488,13.1676832
ORDJ06783,2018-01-21,08:30:25,Breakfast,TP,"[('Pancake', 6), ('Coffee', 8), ('Eggs', 2)]",249.5,-37.800116,144.9711949,0,10.056,14.7760371
ORDA06924,2018-03-02,09:51:32,Breakfast,BK,"[('Coffee', 8), ('Eggs', 9), ('Pancake', 2), ('Cereal', 7)]",453.5,-37.8185383,144.9911937,0,5.636,10.075048
ORDZ10811,2018-12-31,20:00:00,Dinner,NS,"[('Pasta', 7), ('Salmon', 9), ('Fish&Chips', 4)]",701.5,-37.8058667,144.9994575,0,10.133,16.0402534
ORDB01235,2018-08-08,15:16:03,Lunch,TP,"[('Salad', 3), ('Chicken', 2), ('Steak', 5), ('Fries', 2)]",364.6,-37.8118083,144.9557773,0,8.717,12.4349953
ORDK02444,2018-12-01,19:09:17,Dinner,BK,"[('Pasta', 8), ('Shrimp', 2)]",328.0,-37.8186702,144.9664974,0,7.676,17.5291716
ORDA08315,2018-01-30,08:50:42,Breakfast,BK,"[('Pancake', 4), ('Eggs', 4), ('Coffee', 5), ('Cereal', 9)]",411.5,-37.8068509,144.9746571,0,6.709,11.4178066
ORDK02750,2018-01-12,08:20:16,Breakfast,BK,"[('Pancake', 5), ('Coffee', 3)]",143.75,-37.7989706,144.9707095,1,7.689,6.4755319
ORDK09991,2018-01-01,08:00:00,Breakfast,BK,"[('Cereal', 8), ('Coffee', 1), ('Pancake', 10), ('Eggs', 8)]",594.0,-37.8041711,144.9584591,1,7.922,6.5995848
ORDK04229,2018-10-18,17:38:01,Dinner,BK,"[('Pasta', 7), ('Fish&Chips', 5)]",367.5,-37.8186583,144.9670254,0,7.598,14.2950051
ORDB00586,2018-02-20,09:41:24,Breakfast,TP,"[('Pancake', 10), ('Eggs', 3), ('Coffee', 6), ('Cereal', 9)]",542.5,-37.8061677,144.9584226,0,9.064,11.3619862
ORDC09979,2018-02-09,09:10:59,Breakfast,NS,"[('Coffee', 1), ('Pancake', 4)]",104.5,-37.8128179,144.9679399,0,7.642,12.7204872
ORDJ04470,2018-02-06,09:10:59,Breakfast,TP,"[('Eggs', 7), ('Cereal', 6)]",280.0,-37.8040853,144.9774792,0,9.757,11.9767526
ORDI05108,2018-04-28,11:53:14,Breakfast,NS,"[('Coffee', 7), ('Eggs', 10), ('Pancake', 6), ('Cereal', 9)]",607.0,-37.8234168,144.9416978,0,10.785,17.9029205
ORDB08239,2018-08-03,15:05:54,Lunch,TP,"[('Chicken', 2), ('Salad', 7), ('Fries', 6), ('Burger', 7), ('Steak', 10)]",923.4,-37.8140369,144.9854805,0,9.488,13.0253446
ORDA05392,2018-10-13,17:27:53,Dinner,BK,"[('Shrimp', 1), ('Pasta', 8), ('Salmon', 1)]",315.0,-37.8207129,144.9568024,0,8.438,18.1702201
ORDK08815,2018-10-06,17:07:36,Dinner,BK,"[('Fish&Chips', 10), ('Pasta', 5), ('Salmon', 2)]",569.5,-37.8193592,144.9838007,0,6.419,15.6598192
ORDJ03949,2018-09-26,16:47:19,Dinner,TP,"[('Pasta', 9), ('Shrimp', 8)]",679.5,-37.8114345,144.9271062,0,11.488,15.8966137
ORDX02981,2018-08-24,15:46:28,Lunch,BK,"[('Steak', 4), ('Chicken', 9), ('Fries', 5), ('Burger', 9), ('Salad', 10)]",979.0,-37.8079603,144.9754684,0,6.334,12.3430392
ORDB05111,2018-09-21,16:37:10,Dinner,TP,"[('Shrimp', 7), ('Fish&Chips', 1)]",413.0,-37.7991696,144.9712828,0,10.173,14.166521628982494
ORDK00032,2018-10-16,17:27:53,Dinner,BK,"[('Shrimp', 7), ('Salmon', 7)]",665.0,-37.8024037,144.9950094,0,5.376,11.7763693
ORDA10806,2018-02-14,09:21:07,Breakfast,BK,"[('Eggs', 10), ('Pancake', 5), ('Coffee', 10), ('Cereal', 3)]",479.25,-37.8250741,144.9763515,0,7.592,12.7902148
ORDC06927,2018-01-01,08:00:00,Breakfast,NS,"[('Eggs', 7), ('Coffee', 7), ('Cereal', 7), ('Pancake', 2)]",402.0,-37.8070943,144.9559785,1,8.151,6.5025231
ORDC06118,2018-12-17,19:39:43,Dinner,NS,"[('Fish&Chips', 4), ('Shrimp', 3), ('Pasta', 4)]",412.0,-37.8064033,144.9554734,0,8.051,14.3182387
ORDA03016,2018-01-10,08:10:08,Breakfast,BK,"[('Cereal', 9), ('Coffee', 1)]",196.5,-37.8003125,144.9519537,1,8.687,7.1883239
ORDY09607,2018-08-18,15:36:20,Lunch,TP,"[('Burger', 4), ('Chicken', 8)]",380.0,-37.8118765,144.9716191,0,8.745,13.8011026
ORDX01783,2018-11-05,18:08:27,Dinner,BK,"[('Salmon', 8), ('Shrimp', 8), ('Fish&Chips', 4), ('Pasta', 8)]",1120.0,-37.815967,144.9636436,0,7.884,14.5357066
ORDK10852,2018-03-08,10:11:49,Breakfast,BK,"[('Eggs', 6), ('Cereal', 8)]",300.0,-37.8186886,144.9839778,0,6.339,10.9177287
ORDX03025,2018-08-10,15:16:03,Lunch,BK,"[('Salad', 3), ('Burger', 8), ('Chicken', 9), ('Steak', 9), ('Fries', 9)]",1100.6,-37.8179136,144.9512529,0,9.097,14.6362914
ORDX04493,2018-12-27,20:00:00,Dinner,BK,"[('Shrimp', 3), ('Fish&Chips', 8), ('Salmon', 2), ('Pasta', 10)]",799.0,-37.8179807,144.9319734,0,10.597,17.646298162597187
ORDX00469,2018-03-09,10:11:49,Breakfast,BK,"[('Eggs', 1), ('Cereal', 5), ('Coffee', 9), ('Pancake', 6)]",340.0,-37.8161428,144.9661948,0,7.617,12.1642812
ORDJ01950,2018-08-29,15:56:37,Lunch,TP,"[('Steak', 7), ('Fries', 10), ('Chicken', 3), ('Salad', 2)]",565.4,-37.8118683,144.9564998,0,8.632,12.306008
ORDX08837,2018-06-24,13:44:47,Lunch,BK,"[('Fries', 7), ('Chicken', 4)]",212.0,-37.8264307,144.9977887,0,5.781,13.5726004
ORDZ03276,2018-09-17,16:37:10,Dinner,NS,"[('Fish&Chips', 10), ('Salmon', 6), ('Pasta', 7), ('Shrimp', 7)]",1166.5,-37.8245751,144.9431349,0,10.612,17.1176598
ORDB03787,2018-12-28,20:00:00,Dinner,TP,"[('Pasta', 8), ('Shrimp', 3), ('Fish&Chips', 4)]",522.0,-37.8207817,144.9554734,0,8.151,12.0151813
ORDK06191,2018-08-01,14:55:46,Lunch,BK,"[('Salad', 3), ('Fries', 10), ('Chicken', 4), ('Steak', 10)]",749.6,-37.7991014,144.9725761,0,7.554,13.4233407
ORDI04909,2018-11-22,18:49:00,Dinner,NS,"[('Salmon', 5), ('Shrimp', 5), ('Pasta', 1), ('Fish&Chips', 7)]",747.5,-37.8113124,144.973178,0,7.442,13.424052252053723
ORDK04584,2018-10-24,17:48:10,Dinner,BK,"[('Pasta', 4), ('Shrimp', 3)]",272.0,-37.8104114,144.9615968,0,7.843,14.4008138
ORDA06258,2018-11-11,18:28:43,Dinner,BK,"[('Fish&Chips', 5), ('Salmon', 7), ('Pasta', 5), ('Shrimp', 9)]",1085.5,-37.803356,144.9618828,0,7.812,17.20693
ORDB00998,2018-06-22,13:44:47,Lunch,TP,"[('Chicken', 4), ('Fries', 5), ('Burger', 8)]",436.0,-37.8249932,144.957368,0,8.037,11.8804292
ORDB06003,2018-01-18,08:30:25,Breakfast,TP,"[('Cereal', 6), ('Pancake', 3), ('Eggs', 10)]",418.75,-37.8143618,145.0140941,1,12.414,7.3507329
ORDZ02095,2018-02-12,09:21:07,Breakfast,NS,"[('Pancake', 7), ('Cereal', 9), ('Eggs', 1)]",380.75,-37.816032,144.9725812,0,7.899,12.7643952
ORDA01034,2018-12-08,19:19:26,Dinner,BK,"[('Salmon', 8), ('Shrimp', 8), ('Pasta', 6), ('Fish&Chips', 4)]",1065.0,-37.805337,144.950642,0,8.541,17.8587428
ORDB06482,2018-09-18,16:37:10,Dinner,TP,"[('Salmon', 7), ('Shrimp', 4)]",503.0,-37.8069395,144.9578788,0,9.192,13.0768848
ORDK00507,2018-11-30,18:59:09,Dinner,BK,"[('Fish&Chips', 3), ('Pasta', 8)]",325.0,-37.802331,145.0036807,0,5.335,12.0375523
ORDK10694,2018-11-04,18:08:27,Dinner,BK,"[('Shrimp', 9), ('Fish&Chips', 1), ('Salmon', 10), ('Pasta', 2)]",986.0,-37.8110409,144.9526687,0,8.493,17.7717374
ORDI05941,2018-07-23,14:45:38,Lunch,NS,"[('Chicken', 6), ('Fries', 2), ('Steak', 6), ('Burger', 2)]",548.0,-37.8081859,144.9478074,0,8.868,14.3829173
ORDZ06074,2018-03-21,10:32:06,Breakfast,NS,"[('Coffee', 2), ('Pancake', 3), ('Cereal', 1)]",108.75,-37.815026,144.9608825,0,8.297,13.0246276
ORDY04771,2018-06-23,13:44:47,Lunch,TP,"[('Salad', 2), ('Burger', 10), ('Fries', 10), ('Steak', 5), ('Chicken', 2)]",753.4,-37.8262519,144.9715222,0,8.346,13.3593022
ORDZ02084,2018-07-20,14:35:29,Lunch,NS,"[('Fries', 5), ('Chicken', 1), ('Salad', 8), ('Steak', 10)]",679.6,-37.8221958,144.9539584,0,9.717,15.4987276
ORDB02105,2018-09-06,16:16:54,Dinner,TP,"[('Fish&Chips', 5), ('Shrimp', 10)]",715.0,-37.815505,144.9354882,0,10.579,14.3817705
ORDB06310,2018-06-19,13:34:38,Lunch,TP,"[('Salad', 2), ('Fries', 6), ('Chicken', 2)]",170.4,-37.7999032,144.927629,0,11.671,14.2581384
ORDA05954,2018-12-22,19:49:51,Dinner,BK,"[('Pasta', 10), ('Shrimp', 4)]",491.0,-37.8182245,144.9478046,0,9.217,18.6048808
ORDZ00642,2018-11-15,18:28:43,Dinner,NS,"[('Fish&Chips', 8), ('Pasta', 3), ('Salmon', 2), ('Shrimp', 9)]",930.5,-37.8012256,144.9531925,0,7.737,13.7085878
ORDK07418,2018-05-24,12:43:56,Lunch,BK,"[('Chicken', 4), ('Burger', 10)]",438.0,-37.8127899,144.9398626,0,9.726,15.746386968149569
ORDX05012,2018-01-26,08:40:33,Breakfast,BK,"[('Eggs', 4), ('Coffee', 3), ('Pancake', 5), ('Cereal', 3)]",294.75,-37.8028637,144.92813,0,10.686,16.0120852
ORDY10146,2018-05-10,12:13:31,Lunch,TP,"[('Burger', 1), ('Steak', 9), ('Salad', 8), ('Chicken', 3), ('Fries', 10)]",789.6,-37.8193632,144.9571746,0,8.05,11.576413487494827
ORDZ00315,2018-11-19,18:38:52,Dinner,NS,"[('Shrimp', 7), ('Pasta', 8), ('Fish&Chips', 1), ('Salmon', 8)]",961.0,-37.8239621,144.9901629,0,9.633,15.7893711
ORDZ09812,2018-01-09,08:10:08,Breakfast,NS,"[('Pancake', 10), ('Coffee', 7), ('Eggs', 7)]",449.0,-37.8101376,144.9697646,1,7.182,6.2892492
ORDC09812,2018-06-25,13:44:47,Lunch,NS,"[('Fries', 4), ('Chicken', 7), ('Salad', 4), ('Burger', 9)]",619.8,-37.8241947,144.98338,0,9.426,15.1065721
ORDZ09723,2018-07-16,14:25:21,Lunch,NS,"[('Steak', 1), ('Chicken', 1)]",77.0,-37.8050692,144.9572442,0,7.744,13.1077617
ORDI10464,2018-01-16,08:20:16,Breakfast,NS,"[('Pancake', 4), ('Cereal', 5)]",202.0,-37.8179311,144.9673941,1,8.387,6.5837335
ORDB05765,2018-10-26,17:48:10,Dinner,TP,"[('Salmon', 5), ('Fish&Chips', 4)]",345.0,-37.8185567,144.9647864,0,7.85,12.3751642
ORDX02930,2018-11-11,18:28:43,Dinner,BK,"[('Salmon', 2), ('Fish&Chips', 10)]",432.0,-37.8025993,144.9613528,0,7.98,17.5043493
