channel_id,all_comment_count,eng_comment_count
UC-0unh5x9WSd6aj0OGxrgaA,55,1
UC-3sBKh8YYbG2KyVHnSyA1A,32,21
UC-9b7aDP6ZN0coj9-xFnrtw,30,20
UC-AlofdKECUdhXrbJQZ6iEg,90,39
UC-B0ARaD-Y0p95aAqbbawQQ,33,22
UC-CBQChrXvLzYc9oxpMfFPg,30,6
UC-CSyyi47VX1lD9zyeABW3w,29,20
UC-D4LfKD1LYd_GoqwL7dd6Q,25,14
UC-EnprmCZ3OXyAoG7vjVNCA,27,19
UC-FUM0zTj88J7bKIT6PidmA,21,17
UC-KTRBl9_6AX10-Y7IKwKdw,36,15
UC-OkQ5JhnX5wCAgYJRxi6bw,14,7
UC-QTh5HFiw28MwFrmFrRjzA,99,67
UC-SkUab6CMjeSzlO6JN5yng,18,10
UC-UGUUaSrcXxNftujxaErdg,35,23
UC-V0JMkSlpUyQ1DxWn_Pi4g,30,3
UC-VNOmCXKmsss7zpvS3RbOQ,32,20
UC-WMwOzgFdvvGVLB1EZ-n-w,30,22
UC-he8--TRguZ-nNUSiH77Uw,37,19
UC-iEDvQSU9q6G5MR4Prp_Tw,41,24
UC-iLj0O7941O6BXMcaZsA_w,23,17
UC-kIIbllnhNe7rlqNYMtVoA,30,13
UC-nPM1_kSZf91ZGkcgy_95Q,30,24
UC-p_YEaF3-cLUAmYuUOpgqA,3,2
UC-ptWR16ITQyYOglXyQmpzw,8,6
UC-tLyAaPbRZiYrOJxAGB7dQ,18,12
UC-uNVV92llYIMC5-ZUF0Q4w,29,18
UC-z5oN_BPJs4Bi9sCH75rqw,5,3
UC00ifCvU8YOOzbL3RdiSTDw,32,20
UC00v5l55jh7OQqcHXrCHQDw,24,7
UC02rAIf5RYrww6AWhoI5S0w,72,60
UC05DLAXA9jl1bxaoopjs83w,38,30
UC07-dOwgza1IguKA86jqxNA,23,15
UC0A86RKLCqTEUna3hPlEpzg,38,12
UC0BGhWsIbV7Dm-lsvhdlMbA,26,10
UC0BletW9phE4xHFM44q4qKA,31,16
UC0Cyf-sOPE0AGY41I6andkQ,32,22
UC0DsQklZE7kyWTx98QPapwA,36,29
UC0GbKJaeEN9k5CG1NLbN6Ow,28,25
UC0GmLw5MOFYkcyYJlqaH2bg,32,9
UC0JO-FDmcF2lFP1l-rsmBWg,1,1
UC0MPfq68TQjStJt5-xklLeA,27,16
UC0NM4tKT5s9szqnK3jp6dEw,11,8
UC0NfgQvgO8X7llW1GOhQKWw,96,63
UC0POxtMZgb3VLI4gd03bDYQ,13,5
UC0PRIrhVeQ7MvPn8r_Zr4kQ,72,44
UC0QHWhjbe5fGJEPz3sVb6nw,140,98
UC0Rp4wkphkKwnL2qJB8XnKw,24,15
UC0StMWrlJkpiXE2PrytcoHw,33,18
UC0Um8gFJciY_3gtlVD0-d1w,28,16
UC0VOyT2OCBKdQhF3BAbZ-1g,32,15
UC0WP5P-ufpRfjbNrmOWwLBQ,65,39
UC0YbFiLN8fcvtWC5Jtt1Vzw,48,29
UC0YdQLeS-QMU68nvIIWOFCA,34,26
UC0aSHiQNMy8IMmS7_8WbtdA,39,25
UC0cd_-e49hZpWLH3UIwoWRA,22,17
UC0dx1Fa4nt3FRWWG5IcdOEQ,35,25
UC0iiLOT3Jnefq_5Ohk2fJhg,92,40
UC0k238zFx-Z8xFH0sxCrPJg,33,23
